County Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,Cannon,Carroll,Carter,Cheatham,Chester,Claiborne,Clay,Cocke,Coffee,Crockett,Cumberland,Davidson,Decatur,Dekalb,Dickson,Dyer,Fayette,Fentress,Franklin,Gibson,Giles,Grainger,Greene,Grundy,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,Lake,Lauderdale,Lawrence,Lewis,Lincoln,Loudon,Macon,Madison,Marion,Marshall,Maury,McMinn,McNairy,Meigs,Monroe,Montgomery,Moore,Morgan,Obion,Overton,Perry,Pickett,Polk,Putnam,Rhea,Roane,Robertson,Rutherford,Scott,Sequatchie,Sevier,Shelby,Smith,Stewart,Sullivan,Sumner,Tipton,Trousdale,Unicoi,Union,Van Buren,Warren,Washington,Wayne,Weakley,White,Williamson,Wilson
Dekalb,221.691168,92.887203,32.313130,163.027271,234.798503,185.532266,227.963213,115.658098,31.927687,337.680371,73.008339,30.999638,255.712530,157.399233,280.313785,114.538584,59.591162,175.886512,83.769551,130.108594,0.000000,56.500276,79.554718,78.650022,185.398212,117.672837,53.547465,66.486217,261.269829,297.028333,134.963141,274.077845,168.261202,280.057679,56.794230,28.241013,294.118695,65.991332,16.064304,51.462184,38.222373,51.997964,35.523957,145.763506,262.837879,354.264115,235.174013,92.436573,86.039632,48.166663,34.977051,91.337703,213.179085,133.688804,40.968514,143.796440,76.074735,57.932208,196.609153,39.075435,185.223057,216.982694,73.842962,100.876515,197.031621,78.079474,165.738496,14.285489,181.700871,204.635595,150.879545,178.771757,201.700612,93.990814,96.285417,209.264461,152.544393,257.388357,104.566714,128.371043,63.833104,330.010818,109.776061,92.861595,121.902293,319.569746,243.394341,149.177147,130.872194,317.236228,30.891866,58.855768,150.345218,70.726228,28.672601
Dickson,176.135695,66.708649,40.072646,126.290306,194.501016,156.041260,179.398071,76.082556,62.240726,291.438737,16.913728,86.468239,206.955149,104.570918,236.985975,84.961735,102.275154,132.370563,31.921074,85.858717,56.500276,0.000000,114.926183,132.825296,135.915238,98.715576,88.581474,67.832613,214.500494,251.462962,105.547295,227.984985,139.961156,231.430127,112.504741,80.387017,246.353338,114.695128,67.043373,54.100964,24.751223,22.194858,24.538434,94.859296,218.264501,307.030722,191.154125,119.693302,129.893966,64.365876,43.603382,81.885840,172.599193,79.578667,90.930456,120.141174,57.474651,39.936024,161.372192,95.410438,149.004432,180.552348,24.067052,81.811891,150.977934,100.830050,115.987833,44.857793,130.004234,174.162143,103.799908,141.104031,159.648180,37.510019,56.608918,159.968703,121.552739,215.647366,157.153148,78.324930,36.188655,282.153001,54.560750,141.699174,68.877179,274.627714,196.275165,110.973061,94.044664,270.852841,67.275489,76.517670,107.280146,31.061451,59.145825
Dyer,291.008706,169.736471,75.101253,237.760412,308.117476,263.173810,294.146372,188.200788,54.135062,406.352102,130.469844,62.841907,321.593095,217.990494,351.620446,191.121676,22.866272,246.735761,146.847066,200.058456,79.554718,114.926183,0.000000,59.529785,250.605796,196.635502,27.212283,146.039038,329.415323,366.382535,212.026708,342.911058,246.068634,346.045639,63.416739,91.049361,361.131975,33.663851,63.853332,64.783514,109.922240,95.858082,91.460970,209.418201,333.079727,421.835583,305.838263,19.570263,23.925829,127.296587,113.668310,170.804586,286.224670,192.359844,44.801311,222.359118,153.899127,134.320050,272.326301,77.463732,260.414047,292.302972,117.021101,179.516041,265.862143,25.379376,230.709279,91.646626,243.857700,282.134225,218.684031,253.212947,273.725230,145.151250,168.182656,274.610221,229.389638,329.832358,66.162167,193.184649,92.847565,396.868314,166.843966,43.295116,182.863765,389.522858,311.181117,223.025458,205.092061,385.765295,107.332442,42.155200,221.333669,140.999833,174.245157
Fayette,299.436875,167.869702,96.635601,238.515209,310.595103,257.078846,306.362311,193.132419,76.178091,415.231346,149.732098,47.728132,334.094997,235.862851,357.004481,189.183636,45.281915,253.394423,162.050826,208.245013,78.650022,132.825296,59.529785,0.000000,263.985224,187.525959,61.478637,134.268089,339.190258,374.467097,208.480274,351.763431,239.802928,358.376732,23.780922,69.399199,372.217371,27.656073,65.815616,100.142984,116.869287,121.252262,108.884548,224.402220,340.077197,432.101133,312.377713,78.712996,40.757486,113.908356,110.567884,159.528414,289.323166,211.756094,43.082629,214.123281,150.419293,134.704295,270.727516,48.037950,260.015006,291.281751,144.860842,172.431778,275.027534,81.545190,244.365956,92.773379,260.327316,276.147442,229.292548,254.286429,278.505960,169.340565,174.262351,287.799276,225.986686,333.586983,27.079427,207.019104,126.052189,408.068792,187.246375,28.305200,200.232948,396.709883,321.458494,225.496387,207.227639,394.885201,91.790495,85.475323,228.012582,149.300639,187.217440
Fentress,44.693870,104.226136,175.987758,56.246605,73.845030,84.783597,43.552128,74.359506,198.078369,156.134087,120.143232,216.257242,71.040260,35.943314,105.759442,88.630346,237.959466,29.926320,104.137936,57.303498,185.398212,135.915238,250.605796,263.985224,0.000000,106.692352,224.486611,143.131593,79.477029,117.012942,81.531621,93.382228,83.858391,95.516322,241.423942,199.588565,110.537609,249.274333,199.398850,187.368276,147.272248,155.037237,160.129105,41.215461,85.860624,171.249187,61.579723,253.637111,265.664683,159.622295,154.779029,126.281358,56.460395,60.608525,224.632146,94.645417,120.260492,130.893885,68.302952,219.763903,60.278363,75.089318,136.357693,110.007631,23.152465,234.424520,19.930438,171.216918,14.612357,90.015225,35.438831,53.296246,43.285055,108.113551,90.751878,24.066012,74.653442,88.701995,289.914504,57.694325,161.638117,146.267791,85.119044,276.484852,68.067873,140.466796,61.239942,55.477544,67.681799,135.576213,178.247010,210.617832,42.812122,114.686540,77.720535
Franklin,125.378967,32.257549,127.653648,58.511682,127.338120,69.588588,138.838525,45.171891,143.998501,235.712934,94.569668,143.290177,164.262454,101.169361,175.197492,23.194593,177.263659,82.416271,80.104689,58.794921,117.672837,98.715576,196.635502,187.525959,106.692352,0.000000,169.773110,53.299866,164.186950,195.263719,26.342080,174.608509,52.379824,186.392212,163.756552,118.129139,197.376170,182.119466,133.729686,148.088411,89.634384,119.985874,112.581132,86.403393,160.913515,253.839842,134.162060,207.296536,203.346774,73.683088,82.990141,28.068060,107.854347,95.203341,157.742304,26.609385,43.669568,63.959874,85.179903,139.513283,76.163679,105.552914,117.500941,17.495716,105.525104,190.354004,93.715813,104.991186,112.392646,88.626364,75.867361,72.827972,100.341511,104.183861,50.872452,125.101724,41.227555,150.816011,214.595242,76.027112,134.897268,231.840141,93.074169,207.780326,85.500915,215.729205,148.643430,51.872514,40.241323,216.289267,95.873288,167.010974,64.174264,68.241062,70.118129
Gibson,264.381811,142.567222,48.526961,210.577612,281.059482,236.015077,267.979144,161.095911,26.996871,379.935432,104.551436,43.539577,295.523284,192.482959,324.799279,163.926401,17.139786,219.863310,120.454989,173.190440,53.547465,88.581474,27.212283,61.478637,224.486611,169.773110,0.000000,119.845875,303.003067,339.832023,184.845023,316.413316,218.931838,319.995583,54.642984,69.281424,334.933547,34.667721,38.583639,42.122687,82.710503,70.665036,64.691298,183.380448,306.378173,395.605712,279.057616,39.043106,42.314300,101.687819,86.923936,144.295063,259.177574,167.006122,27.339446,195.356867,126.843522,107.169878,245.120101,60.366386,233.220650,265.111599,92.962639,152.573552,239.260733,27.725050,204.562354,64.892313,218.206417,254.959418,192.108575,226.050008,246.763188,120.475475,141.083233,248.532812,202.192245,302.869367,77.854095,166.902234,70.191401,370.733861,141.511286,57.629884,157.071374,362.905301,284.797652,195.877967,177.914765,359.353697,82.809590,24.030517,194.407371,113.920545,147.702695
Giles,171.238815,38.924243,83.390140,106.524277,178.084042,122.812176,181.631906,68.895302,95.671430,285.106419,73.184185,90.233770,208.631676,125.039125,225.418147,57.623538,125.610855,125.497263,68.257711,86.255545,66.486217,67.832613,146.039038,134.268089,143.131593,53.299866,119.845875,0.000000,211.029759,244.334006,75.064578,222.577679,105.535539,232.044852,110.490750,64.872175,244.441947,129.302215,82.290432,105.452289,48.274803,84.047579,71.295182,110.460090,209.755413,302.747025,182.296034,158.416867,150.956618,20.383274,34.209201,25.520344,157.481538,108.345224,105.315200,79.909233,23.882907,28.741085,137.068422,86.293942,126.930265,157.617160,91.505408,38.552074,148.518472,142.813961,125.711338,55.462814,144.199727,141.890512,107.981276,122.048963,148.020410,91.844237,56.240460,165.102044,92.289031,201.415293,161.344651,94.303146,100.348203,279.754927,93.229734,154.639551,95.760862,265.713931,194.230533,95.310966,77.962646,265.184752,42.574343,120.931400,101.851407,48.371478,77.834207
Grainger,39.904737,173.168688,254.484586,105.780993,46.848680,108.318420,36.655115,146.101851,276.334611,76.938262,199.146054,291.656677,16.725982,114.624755,32.506783,153.420767,315.905702,86.044896,182.582841,131.175842,261.269829,214.500494,329.415323,339.190258,79.477029,164.186950,303.003067,211.029759,0.000000,37.628136,138.225736,14.131049,119.709467,23.394363,316.031184,272.353884,33.413520,326.335121,275.980200,266.649311,223.698956,234.190679,238.372743,120.512593,15.952627,93.000683,30.830887,332.957180,343.651354,229.709276,228.717101,189.627283,58.366343,139.927951,301.424267,142.484861,190.483419,204.543534,85.452278,293.294907,89.982983,71.012088,215.831330,173.665351,64.241380,313.764151,99.074017,246.984883,89.132717,98.017475,111.023010,91.546488,63.845525,187.581880,165.017965,56.264341,123.424237,33.955777,365.659681,136.255457,241.107754,68.962898,164.595862,353.534239,147.466994,61.113556,18.269709,115.719619,133.328873,56.352888,250.173568,289.857722,111.203940,190.950277,155.808743
Greene,75.527890,207.320582,291.353083,137.907097,69.139910,133.171858,74.247239,181.437864,313.063833,40.822211,236.318552,327.135481,50.134504,152.252352,23.112090,186.837302,352.441963,121.154336,219.547078,167.240679,297.028333,251.462962,366.382535,374.467097,117.012942,195.263719,339.832023,244.334006,37.628136,0.000000,170.059232,23.631554,147.084349,31.874156,351.115941,306.877032,19.167950,362.448306,311.983047,303.936511,259.795477,271.412544,275.149064,157.919304,34.580376,58.579105,62.183730,370.254972,380.178502,263.551379,263.899821,221.818764,87.411058,177.527947,337.461518,171.692564,224.774452,239.783618,111.940483,328.022234,119.247575,93.626442,253.322903,206.282307,100.584122,351.082605,136.486078,282.751316,126.733563,119.040380,147.724258,122.680930,96.380484,225.124776,200.774607,93.891342,154.039666,46.523820,401.119396,173.388130,278.585445,38.090234,202.109053,389.603616,184.896740,23.485425,55.781734,149.451095,167.524378,21.046387,284.509980,327.107329,146.683936,227.129493,192.749856
Grundy,99.175681,42.312666,139.649735,32.446705,103.063542,51.271796,112.502657,34.710370,158.228481,210.694228,97.287470,162.712530,137.966373,80.905500,150.586249,21.033513,194.066033,56.182031,80.306580,41.309288,134.963141,105.547295,212.026708,208.480274,81.531621,26.342080,184.845023,75.064578,138.225736,170.059232,0.000000,148.962353,34.555041,160.249032,184.735222,139.367070,171.511341,200.673262,150.914657,158.326695,102.386640,127.696876,123.601445,67.092689,135.564160,228.618019,108.492799,220.904265,220.967628,95.015517,100.042678,51.760542,82.773974,80.555083,175.816519,18.769029,58.914463,77.753943,62.247278,160.810715,51.866153,82.803358,120.301368,36.541638,79.215806,203.054069,70.387657,121.351028,88.527740,70.120949,53.494236,47.380921,74.427847,101.401571,50.026675,99.029341,17.605807,126.446215,235.527911,60.955699,141.042944,206.243630,85.285715,227.046678,73.440445,191.007337,122.444411,26.101640,20.290428,191.031675,116.831591,179.032510,40.064953,74.657691,62.067382
Hamblen,52.387457,185.107099,267.914850,116.577062,51.913202,115.623159,50.774929,158.635689,289.683474,63.648848,212.766157,304.324588,28.704007,128.672107,21.717926,164.967357,329.146655,98.374997,196.064496,144.103520,274.077845,227.984985,342.911058,351.763431,93.382228,174.608509,316.413316,222.577679,14.131049,23.631554,148.962353,0.000000,128.252981,21.310530,328.502674,284.532371,23.671366,339.343368,288.921745,280.352473,236.680848,247.846800,251.745646,134.299871,15.227389,80.398129,40.470861,346.669584,356.889451,241.532552,241.214419,200.617553,67.234319,153.909399,314.388353,151.973113,202.505777,217.060896,93.344085,305.581486,99.270236,76.853345,229.693698,184.842505,77.267179,327.490927,112.864228,259.793801,103.238941,103.484174,124.319387,101.781033,74.651818,201.493411,177.792562,70.339848,133.527710,33.142554,378.330127,149.841082,254.958065,57.284312,178.477878,366.521941,161.274687,47.092589,32.158659,127.365929,145.245988,43.158719,262.250948,303.535262,123.783193,203.969246,169.254348
Hamilton,84.452618,76.427940,174.138049,28.787563,78.002215,17.326336,101.797310,66.500891,192.451587,186.744374,131.047603,195.047160,123.343328,96.970662,125.791468,55.545639,227.664399,53.958125,113.652673,66.723925,168.261202,139.961156,246.068634,239.802928,83.858391,52.379824,218.931838,105.535539,119.709467,147.084349,34.555041,128.252981,0.000000,142.900550,216.024448,170.407602,151.750436,233.535788,184.295385,192.879633,136.714809,162.136962,158.133248,86.211906,113.649116,205.293687,88.880286,255.293553,254.283411,125.898189,133.287510,80.447608,61.357111,104.539143,208.874449,26.055817,92.320820,111.763119,35.144502,191.821680,30.295691,54.483527,153.858035,67.719267,71.959733,237.533697,80.686690,154.935728,95.259006,36.462336,68.832736,32.498654,58.501050,133.173635,83.911203,93.777913,19.101216,101.233865,266.880037,86.180340,175.234397,184.643352,114.798226,259.548204,100.416559,166.225675,106.671030,39.086868,48.727410,168.079590,148.054168,213.549623,54.008094,109.159078,92.692295
Hancock,61.111574,193.757202,271.502773,127.882138,69.831337,131.704426,52.170999,165.818801,293.590207,62.872865,215.579160,310.705075,24.477553,128.838159,41.686070,174.586282,333.442889,106.564599,199.645919,150.152579,280.057679,231.430127,346.045639,358.376732,95.516322,186.392212,319.995583,232.044852,23.394363,31.874156,160.249032,21.310530,142.900550,0.000000,335.447697,292.356910,16.408413,344.524691,294.419312,282.487883,242.150002,250.340996,255.633667,136.638184,34.942503,76.209157,54.103839,348.621912,361.158855,250.326344,248.227590,211.295646,81.622829,154.552049,319.764217,165.296601,210.898112,224.075170,108.805929,313.082929,113.004631,94.276390,230.921894,195.181934,83.811434,329.387022,115.446097,265.799328,102.828257,121.259088,129.188774,114.109479,86.235663,202.455595,184.157783,71.462818,145.946129,53.734272,384.613084,153.184084,256.191591,50.932816,179.801137,371.744430,163.245310,52.372998,37.886195,136.932266,154.102606,43.289637,270.375979,305.770931,131.057475,209.407474,173.250155
Hardeman,276.223853,144.272438,79.022628,214.884700,286.960250,233.302616,283.525814,169.929882,61.071085,391.903250,129.291460,26.041036,311.229867,214.127885,333.482901,165.522413,42.694407,230.129576,140.563266,185.299231,56.794230,112.504741,63.416739,23.780922,241.423942,163.756552,54.642984,110.490750,316.031184,351.115941,184.735222,328.502674,216.024448,335.447697,0.000000,45.627441,349.136122,30.713208,45.973234,86.815413,94.838674,103.280157,89.366210,202.266844,316.682694,408.874754,288.986437,82.808126,52.405100,90.128355,87.314085,135.770497,265.741552,190.479625,29.044520,190.356994,126.803306,111.488354,246.981810,24.333562,236.311349,267.538531,126.719259,148.656449,251.940111,79.983466,221.925965,70.553521,238.228312,252.374645,206.525478,230.648165,255.042447,149.654838,151.291833,265.131939,202.230438,309.994371,50.860349,184.825480,110.294765,384.953774,166.429743,47.448679,178.684635,373.271173,298.379174,201.986870,183.744987,371.596313,68.011209,76.932923,204.827390,126.864970,165.016867
Hardin,232.458788,99.584740,60.503705,169.930852,241.938015,187.680258,240.787184,126.543017,55.524616,347.697577,95.747788,28.660426,268.351446,174.776267,288.777281,120.523408,68.439726,186.310113,103.234041,142.644286,28.241013,80.387017,91.049361,69.399199,199.588565,118.129139,69.281424,64.872175,272.353884,306.877032,139.367070,284.532371,170.407602,292.356910,45.627441,0.000000,305.624664,67.337117,33.472620,78.516064,57.799610,79.518724,62.514553,161.897572,272.352532,364.926349,244.693872,107.411532,90.088344,44.528298,45.063414,90.149264,220.901438,152.701658,46.412485,144.729818,82.110890,68.694844,201.586890,21.454197,191.082116,222.148628,100.245989,103.138108,208.584716,96.584243,180.536690,35.707794,197.684411,206.748528,164.282596,185.652459,210.577545,117.471710,108.844108,222.908688,156.802740,265.091386,96.473603,144.464861,92.002521,341.315316,130.436070,90.912514,140.310971,328.776628,254.947237,157.461950,139.354421,327.510053,22.541994,81.599501,161.329332,86.731712,124.946849
Hawkins,73.263440,206.536870,286.411989,139.066387,75.550589,139.282813,66.987607,179.245361,308.410632,46.579889,230.678344,324.621224,39.865322,144.478478,36.950513,186.834207,348.153935,119.352729,214.492728,164.025417,294.118695,246.353338,361.131975,372.217371,110.537609,197.376170,334.933547,244.441947,33.413520,19.167950,171.511341,23.671366,151.750436,16.408413,349.136122,305.624664,0.000000,358.927019,308.677616,297.826733,256.381605,265.561245,270.435392,151.749051,38.810742,60.712375,63.352484,364.038381,375.890368,263.091005,261.832563,222.989809,90.551428,170.136469,334.082442,175.197108,223.826554,237.657304,116.930545,326.511998,122.520148,100.501821,246.456540,207.056437,97.197682,344.810711,130.422761,279.840218,118.517538,127.057630,143.457326,124.607587,97.085368,218.028156,197.965904,86.602058,156.455821,55.678075,398.601155,168.032019,271.742678,35.906295,195.260833,386.142276,178.512815,36.530282,50.759907,149.132490,166.712023,26.886362,283.486704,321.094905,144.359770,223.617669,187.950443
Haywood,286.978699,158.776488,75.894455,229.018419,300.764623,250.852275,292.354053,181.353075,53.902582,402.989368,131.466506,39.299590,320.085501,219.168852,346.088090,180.420673,17.843057,241.421789,145.566822,195.240504,65.991332,114.695128,33.663851,27.656073,249.274333,182.119466,34.667721,129.302215,326.335121,362.448306,200.673262,339.343368,233.535788,344.524691,30.713208,67.337117,358.927019,0.000000,50.522337,75.417211,102.662908,100.138044,90.171180,208.756017,328.404178,419.314756,300.786256,53.233448,22.981063,109.237711,100.669957,154.794761,279.114126,194.272277,25.062322,208.576030,141.767761,123.922771,262.512562,49.362521,251.190076,282.919994,123.475868,165.853824,262.127666,54.044503,229.411075,80.088708,244.352283,269.986059,215.469858,244.762770,267.501896,149.602654,161.733522,273.301018,218.276096,323.293335,44.036345,191.671258,102.619485,394.832114,169.124072,27.219875,183.415668,385.140014,308.321828,215.128478,196.833418,382.487302,87.448512,58.647556,215.835591,135.388228,171.971706
Henderson,236.543462,108.764573,33.818064,178.688228,250.320054,201.558334,242.266247,130.830751,22.302135,352.559629,83.938347,20.443444,270.015464,170.325520,295.565877,130.409466,43.535682,190.919870,96.467638,144.827198,16.064304,67.043373,63.853332,65.815616,199.398850,133.729686,38.583639,82.290432,275.980200,311.983047,150.914657,288.921745,184.295385,294.419312,45.973234,33.472620,308.677616,50.522337,0.000000,47.039722,52.296149,57.524314,43.446179,159.262752,277.902806,368.977117,250.275743,77.625384,70.053175,63.459240,51.009203,107.293336,228.638565,146.008365,25.483627,159.860444,92.061560,73.619575,212.437571,34.500734,200.973164,232.772371,80.828424,116.939739,211.748778,64.569486,179.614486,29.694175,195.081721,220.654899,165.258755,194.407113,216.982163,103.868374,111.232087,223.365880,168.482422,272.796864,90.747385,142.000648,66.041719,344.583076,121.430964,77.624194,134.618446,334.640271,258.014974,164.676134,146.397422,332.074652,44.240664,48.143458,165.338655,85.060069,122.119984
Henry,229.000584,117.489924,22.268111,180.332847,248.417817,209.317602,230.892107,130.112603,26.118506,343.476172,67.766840,65.218514,258.104221,153.914603,290.234018,137.398416,58.901860,186.047181,85.193106,139.752412,51.462184,54.100964,64.783514,100.142984,187.368276,148.088411,42.122687,105.452289,266.649311,303.936511,158.326695,280.352473,192.879633,282.487883,86.815413,78.516064,297.826733,75.417211,47.039722,0.000000,58.891284,32.661030,35.526882,146.178768,271.226335,358.525004,244.399103,66.318610,84.043887,92.173326,71.610665,126.400917,226.535120,128.191580,58.297240,171.602516,104.567093,84.365781,215.398588,81.186468,203.063729,234.647125,52.297893,130.621327,203.857575,47.172083,167.600694,53.624375,179.890926,227.698862,156.839586,195.200744,213.437014,80.605017,110.447588,211.225881,174.849986,269.305558,119.347620,130.611622,28.257117,333.400920,102.754261,99.719532,119.318924,327.251032,248.380006,165.050960,147.959516,322.903337,80.691908,23.289317,161.177727,83.884046,112.435316
Hickman,184.316356,60.319180,38.019983,127.988091,198.984063,153.648366,190.009050,79.051838,55.902793,300.326491,38.282693,69.208579,217.760851,119.296097,243.670544,81.388262,93.308338,138.842950,46.044172,92.577635,38.222373,24.751223,109.922240,116.869287,147.272248,89.634384,82.710503,48.274803,223.698956,259.795477,102.386640,236.680848,136.714809,242.150002,94.838674,57.799610,256.381605,102.662908,52.296149,58.891284,0.000000,36.010109,23.557196,107.541915,225.806082,316.691815,198.225599,118.588209,120.876437,40.685778,19.083815,67.579510,177.180488,95.973156,77.725315,114.040136,45.966928,25.675379,162.423610,75.075666,150.576009,182.469981,48.166450,72.139445,159.476421,101.051774,127.565564,24.300324,143.483081,172.487763,112.973417,143.547024,165.191599,60.137355,59.215399,171.187942,119.608228,221.177337,142.643125,90.149847,52.320712,292.286983,72.848359,129.844635,83.957899,282.532299,205.721505,113.481947,95.375844,279.826466,42.731533,77.433143,113.250591,32.763949,70.153237
Houston,196.388678,88.294809,24.618342,148.283402,215.832853,178.236109,198.586564,98.121303,46.246047,311.066207,35.130755,77.957308,225.915594,122.133487,257.583464,107.038499,85.851386,153.405210,52.556116,107.189998,51.997964,22.194858,95.858082,121.252262,155.037237,119.985874,70.665036,84.047579,234.190679,271.412544,127.696876,247.846800,162.136962,250.340996,103.280157,79.518724,265.561245,100.138044,57.524314,32.661030,36.010109,0.000000,17.242787,113.822264,238.607158,326.272842,211.746135,98.901971,112.849673,75.956556,53.866918,101.275393,193.963453,96.523972,78.235966,142.049111,77.595973,58.437234,183.372876,90.174766,170.964523,202.411143,23.608970,102.815781,171.237890,79.808089,135.207239,45.130364,148.005536,196.343952,124.190701,162.963894,180.812864,49.866603,78.771031,178.971049,143.747312,236.653634,143.788211,98.037182,16.318053,301.216591,71.004799,126.419607,87.096479,294.699204,215.925322,132.912766,116.153837,290.485289,72.344806,55.701787,128.605612,53.093330,79.720242
Humphreys,199.690902,82.250602,16.462244,147.158752,216.817820,174.792396,203.537009,97.166559,37.976179,315.293801,41.308398,63.500778,231.156228,129.100913,260.167676,102.587743,77.861254,155.275176,55.991517,108.598521,35.523957,24.538434,91.460970,108.884548,160.129105,112.581132,64.691298,71.295182,238.372743,275.149064,123.601445,251.745646,158.133248,255.633667,89.366210,62.514553,270.435392,90.171180,43.446179,35.526882,23.557196,17.242787,0.000000,119.193116,241.693497,331.069554,214.400123,97.872932,105.541191,60.725827,38.829172,91.127404,194.910025,104.103198,66.589125,136.332266,69.040212,48.851524,182.050039,74.344560,169.902475,201.707264,38.342323,95.106007,174.572876,79.594433,140.200008,27.890013,154.482657,193.389823,127.430339,162.391500,182.299769,60.479709,77.185525,184.194437,140.434650,238.401414,132.815184,102.450386,31.983224,306.276289,78.987478,117.160936,93.388393,298.214154,220.186350,132.147929,114.525023,294.716326,55.308235,55.449796,129.891750,50.047679,82.972355
Jackson,83.796757,73.057415,134.920053,58.810020,108.071679,94.884179,84.766793,43.760925,157.084885,197.298161,78.948442,176.748264,112.177684,15.071920,145.421548,64.044515,197.054367,47.035326,63.255114,27.661213,145.763506,94.859296,209.418201,224.402220,41.215461,86.403393,183.380448,110.460090,120.512593,157.919304,67.092689,134.299871,86.211906,136.638184,202.266844,161.897572,151.749051,208.756017,159.262752,146.178768,107.541915,113.822264,119.193116,0.000000,125.888627,212.461346,100.012998,212.467417,224.721476,124.592732,116.834171,98.567524,87.379437,22.063186,184.301114,84.975574,86.645251,93.695803,87.467516,181.391475,75.672490,101.576305,95.457961,83.541244,59.089033,193.264544,21.439296,131.747750,35.962526,107.128924,18.046812,66.604563,73.231505,67.498194,54.710041,65.192021,69.787998,126.329325,249.977512,17.470651,120.690464,187.451698,44.400973,235.931502,26.982477,181.314649,102.244745,47.423339,47.356507,176.727578,141.427477,169.417743,32.263462,75.528806,37.588452
Jefferson,42.233784,172.780634,257.985819,103.353742,36.743473,100.655348,46.112143,147.186698,279.522819,75.384505,203.476405,292.822128,32.309789,121.729680,20.128517,152.258454,318.696073,86.983066,186.406688,133.381019,262.837879,218.264501,333.079727,340.077197,85.860624,160.913515,306.378173,209.755413,15.952627,34.580376,135.564160,15.227389,113.649116,34.942503,316.682694,272.352532,38.810742,328.404178,277.902806,271.226335,225.806082,238.607158,241.693497,125.888627,0.000000,93.064950,27.699525,337.508913,346.410860,228.977019,229.523053,187.314687,53.116534,146.351228,303.386421,137.751269,190.243340,205.438388,78.605592,293.523488,85.114502,61.698660,221.279420,171.730361,67.369529,318.398181,104.618691,248.572928,97.162996,88.269014,114.486880,88.205853,61.810459,193.379058,166.671773,64.391322,119.718092,18.897537,366.777864,140.645325,246.445590,71.125331,170.284315,355.524474,152.814213,56.737946,27.260657,114.902904,133.013905,55.476508,249.967813,294.294138,112.569079,193.228235,159.505157
Johnson,132.664281,265.468761,347.080400,196.414566,127.299708,190.882784,127.697920,238.970646,369.045600,18.980288,291.387688,384.611918,100.451401,205.028039,79.631831,245.185640,408.734011,178.748156,275.154050,224.176260,354.264115,307.030722,421.835583,432.101133,171.249187,253.839842,395.605712,302.747025,93.000683,58.579105,228.618019,80.398129,205.293687,76.209157,408.874754,364.926349,60.712375,419.314756,368.977117,358.525004,316.691815,326.272842,331.069554,212.461346,93.064950,0.000000,120.454565,424.718702,436.476275,321.837208,321.573582,280.373838,145.989331,230.726351,394.416595,230.135457,282.882905,297.410967,170.188519,385.979403,177.791091,151.313816,307.081588,264.789219,157.241584,405.488131,191.128745,339.978804,179.026649,175.746830,203.908598,181.245489,154.727642,278.629712,257.998690,147.307853,212.614245,104.131598,458.619121,228.705802,332.360028,25.434302,255.916573,446.518711,239.217094,40.112247,111.003516,207.668762,225.616046,37.588563,342.631309,381.796616,204.089508,283.938104,248.661260
Knox,16.964782,145.138239,230.737593,76.121206,21.139902,77.727516,30.702682,119.516644,252.161639,103.005528,176.634866,265.128487,37.349351,97.393072,45.842729,124.732829,291.213900,59.383249,159.374664,105.922290,235.174013,191.154125,305.838263,312.377713,61.579723,134.162060,279.057616,182.296034,30.830887,62.183730,108.492799,40.470861,88.880286,54.103839,288.986437,244.693872,63.352484,300.786256,250.275743,244.399103,198.225599,211.746135,214.400123,100.012998,27.699525,120.454565,0.000000,310.612278,318.913105,201.410217,201.823860,160.163769,27.536883,121.116634,275.758867,111.874688,162.590738,177.742113,54.734554,265.847449,59.252260,41.929193,195.006823,144.432770,40.936740,291.553101,79.130631,220.913928,74.397201,68.708457,87.562328,61.337315,34.276274,167.414304,139.055698,43.581140,93.139012,27.218303,339.080199,114.039191,220.055456,97.750905,144.338221,327.891653,126.724762,84.399186,21.093985,87.274912,105.343016,82.911876,222.327528,267.379470,84.975194,165.701924,132.439117
