County Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,Cannon,Carroll,Carter,Cheatham,Chester,Claiborne,Clay,Cocke,Coffee,Crockett,Cumberland,Davidson,Decatur,Dekalb,Dickson,Dyer,Fayette,Fentress,Franklin,Gibson,Giles,Grainger,Greene,Grundy,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,Lake,Lauderdale,Lawrence,Lewis,Lincoln,Loudon,Macon,Madison,Marion,Marshall,Maury,McMinn,McNairy,Meigs,Monroe,Montgomery,Moore,Morgan,Obion,Overton,Perry,Pickett,Polk,Putnam,Rhea,Roane,Robertson,Rutherford,Scott,Sequatchie,Sevier,Shelby,Smith,Stewart,Sullivan,Sumner,Tipton,Trousdale,Unicoi,Union,Van Buren,Warren,Washington,Wayne,Weakley,White,Williamson,Wilson
Cheatham,161.258445,62.423532,56.287222,114.787552,181.042479,146.411866,163.690738,65.210091,78.612054,276.050025,0.000000,103.250434,191.123857,88.053117,222.467985,77.696849,118.709697,118.466623,17.979708,72.591128,73.008339,16.913728,130.469844,149.732098,120.143232,94.569668,104.551436,73.184185,199.146054,236.318552,97.287470,212.766157,131.047603,215.579160,129.291460,95.747788,230.678344,131.466506,83.938347,67.766840,38.282693,35.130755,41.308398,78.948442,203.476405,291.387688,176.634866,134.032665,146.221990,74.118605,55.534089,82.260374,159.218260,62.848734,107.817589,113.380088,57.590720,44.486704,149.792208,111.685465,137.277145,168.379436,23.149893,78.807105,136.107144,114.931701,100.261598,60.722066,113.673277,163.939376,89.073638,129.017073,145.926273,21.857423,47.262890,144.140447,112.181095,201.653058,174.046251,62.930715,44.952655,266.399576,37.683542,158.405323,52.522380,259.588742,180.886868,99.304145,83.444247,255.465082,80.727770,90.825652,93.926141,27.449483,44.647654
Chester,251.962716,121.330640,54.179544,191.949753,263.969170,212.373454,258.665139,145.706671,39.158414,367.859185,103.250434,0.000000,286.403663,188.387865,309.996696,142.863650,40.046323,205.996532,114.697347,160.608686,30.999638,86.468239,62.841907,47.728132,216.257242,143.290177,43.539577,90.233770,291.656677,327.135481,162.712530,304.324588,195.047160,310.705075,26.041036,28.660426,324.621224,39.299590,20.443444,65.218514,69.208579,77.957308,63.500778,176.748264,292.822128,384.611918,265.128487,80.016879,61.715488,70.049816,63.418567,115.752761,242.523682,164.566939,18.043391,169.832639,104.030269,87.393630,224.833969,17.237533,213.793850,245.333539,101.201793,127.332337,227.454527,71.260033,196.645496,45.050861,212.691658,231.508087,181.586638,207.731686,231.409700,123.663775,126.657657,240.074206,180.307377,286.791837,74.007672,159.344042,86.206449,360.490779,140.419060,64.509512,152.856796,349.512944,273.869151,178.556909,160.247041,347.468714,48.159481,60.805453,180.541974,101.573623,139.467009
Claiborne,39.246822,170.128588,247.027756,105.881534,57.101339,113.864686,27.752276,141.821517,269.112686,86.245569,191.123857,286.403663,0.000000,104.619502,48.995425,151.390385,308.967453,83.205827,175.168366,125.940473,255.712530,206.955149,321.593095,334.094997,71.040260,164.262454,295.523284,208.631676,16.725982,50.134504,137.966373,28.704007,123.343328,24.477553,311.229867,268.351446,39.865322,320.085501,270.015464,258.104221,217.760851,225.915594,231.156228,112.177684,32.309789,100.451401,37.349351,324.274565,336.682356,226.642910,224.073070,188.464079,63.331290,130.292241,295.343787,144.362025,187.148260,199.943737,90.721862,288.988008,93.070192,79.276781,206.634329,172.237290,60.119021,305.042507,90.969530,241.463634,78.652317,105.982444,104.833365,92.999120,65.223863,178.191270,159.945838,46.991920,124.501843,49.011429,360.277030,128.706889,231.915813,75.302944,155.465853,347.304687,138.826436,73.091564,16.847901,113.908962,130.680914,66.001038,246.467654,281.382546,107.203701,185.032026,148.742516
Clay,80.579851,87.982945,144.339806,68.582104,108.200765,103.789567,78.095738,58.829521,166.662550,190.654186,88.053117,188.387865,104.619502,0.000000,141.675905,79.004266,206.756800,51.412824,73.857941,42.596061,157.399233,104.570918,217.990494,235.862851,35.943314,101.169361,192.482959,125.039125,114.624755,152.252352,80.905500,128.672107,96.970662,128.838159,214.127885,174.776267,144.478478,219.168852,170.325520,153.914603,119.296097,122.133487,129.100913,15.071920,121.729680,205.028039,97.393072,219.885412,234.271254,138.607001,129.776830,113.618683,88.863123,25.742364,195.041155,98.275480,101.173613,107.146105,93.421647,193.837466,82.484992,105.170768,102.108998,98.611707,57.462292,200.648500,20.110166,143.594347,26.019673,114.151820,28.461234,73.687968,74.783512,73.626613,68.983767,58.374916,81.814420,124.402087,261.048708,30.939176,127.363590,179.765662,51.178006,246.237780,35.760376,175.737632,96.541867,59.265585,61.646009,170.200872,154.772877,177.201496,43.418763,88.066218,50.142017
Cocke,61.625289,189.255232,276.524569,118.954440,47.950842,111.252022,66.146584,164.736355,297.878860,60.964387,222.467985,309.996696,48.995425,141.675905,0.000000,168.301955,336.799029,104.963525,205.216510,151.614309,280.313785,236.985975,351.620446,357.004481,105.759442,175.197492,324.799279,225.418147,32.506783,23.112090,150.586249,21.717926,125.791468,41.686070,333.482901,288.777281,36.950513,346.088090,295.565877,290.234018,243.670544,257.583464,260.167676,145.421548,20.128517,79.631831,45.842729,356.454152,364.470527,244.982357,246.593252,202.250517,67.946984,166.120719,321.036951,150.900666,206.741306,222.633231,90.770960,310.069578,99.045900,71.682602,240.668011,187.060363,86.545713,337.391239,124.266289,266.087834,117.254649,96.450069,133.394460,103.369208,78.615813,212.912973,184.456286,84.516271,134.038528,24.558147,383.828133,159.804793,265.770551,60.969083,189.817018,373.133651,172.272594,40.547763,47.153597,131.508110,149.786881,43.085773,266.298078,313.221646,130.506551,211.267062,178.358388
Coffee,113.668468,21.651441,118.617892,49.407804,121.450496,72.299770,124.730320,21.977753,137.257873,227.638441,77.696849,142.863650,151.390385,79.004266,168.301955,0.000000,173.391545,68.187019,61.458609,36.408277,114.538584,84.961735,191.121676,189.183636,88.630346,23.194593,163.926401,57.623538,153.420767,186.837302,21.033513,164.967357,55.545639,174.586282,165.522413,120.523408,186.834207,180.420673,130.409466,137.398416,81.388262,107.038499,102.587743,64.044515,152.258454,245.185640,124.732829,199.877628,200.432578,76.739483,79.762336,37.733855,100.389382,72.009568,155.476296,35.685134,38.839137,56.973490,82.092280,141.875681,70.931606,102.526219,100.837298,21.395562,91.391133,182.021627,73.594556,100.764660,92.491427,91.099546,55.399070,65.143354,90.469098,84.158576,30.971488,109.118767,38.269587,144.568374,216.159177,52.887128,120.733319,222.132092,70.939335,206.981435,62.418984,208.430214,136.729218,37.706257,21.108590,207.641682,98.016226,158.009614,45.961943,53.945195,47.618046
Crockett,276.916057,151.798111,62.446057,221.105534,292.291245,244.896765,281.316249,172.343229,40.099684,392.765454,118.709697,40.046323,308.967453,206.756800,336.799029,173.391545,0.000000,231.860705,133.836618,185.315661,59.591162,102.275154,22.866272,45.281915,237.959466,177.263659,17.139786,125.610855,315.905702,352.441963,194.066033,329.146655,227.664399,333.442889,42.694407,68.439726,348.153935,17.843057,43.535682,58.901860,93.308338,85.851386,77.861254,197.054367,318.696073,408.734011,291.213900,41.086550,27.745654,106.306785,94.447287,150.756237,270.487865,181.496338,22.045052,203.362131,135.354930,116.426676,255.224352,54.672797,243.573786,275.442451,108.716339,160.436479,251.886475,37.616231,218.034337,72.743123,232.275510,263.967159,204.882974,236.737458,258.425735,135.692640,152.440960,262.025368,211.585914,314.455104,60.723460,180.267207,86.699431,384.021363,156.104895,40.933301,171.129858,375.359372,297.770481,206.751664,188.583046,372.207419,85.652332,40.924968,206.294738,125.532336,160.789353
Cumberland,46.149776,87.239640,171.666725,27.048672,62.762809,55.536283,56.729584,60.290046,192.927637,161.862780,118.466623,205.996532,83.205827,51.412824,104.963525,68.187019,231.860705,0.000000,100.854138,46.678073,175.886512,132.370563,246.735761,253.394423,29.926320,82.416271,219.863310,125.497263,86.044896,121.154336,56.182031,98.374997,53.958125,106.564599,230.129576,186.310113,119.352729,241.421789,190.919870,186.047181,138.842950,153.405210,155.275176,47.035326,86.983066,178.748156,59.383249,252.040980,259.549354,143.816423,142.839881,105.421070,41.210226,69.064737,216.403466,66.651464,104.481286,118.690148,42.114039,207.276206,31.942311,54.568554,138.076275,89.129880,23.294362,233.092920,31.676228,161.614233,42.199193,63.256954,30.695478,23.956480,27.506780,111.576134,79.688767,43.018483,46.199465,83.282101,279.992638,57.341486,162.699798,155.005249,88.989558,268.542084,71.412569,143.720405,68.820189,30.907787,47.540381,141.491252,164.136876,208.826399,25.592413,106.333824,74.020541
Davidson,144.250658,48.812153,71.928122,96.828242,163.297375,128.762641,147.564980,47.460278,93.945070,259.521038,17.979708,114.697347,175.168366,73.857941,205.216510,61.458609,133.836618,100.854138,0.000000,54.715943,83.769551,31.921074,146.847066,162.050826,104.137936,80.104689,120.454989,68.257711,182.582841,219.547078,80.306580,196.064496,113.652673,199.645919,140.563266,103.234041,214.492728,145.566822,96.467638,85.193106,46.044172,52.556116,55.991517,63.255114,186.406688,275.154050,159.374664,151.267773,161.530716,74.134913,59.486031,71.897902,141.442209,49.957996,121.256081,97.032408,48.390439,41.513878,131.818961,121.111045,119.300163,150.408926,40.224778,65.604545,119.088861,132.265451,84.208569,70.242696,98.792183,146.130849,71.921781,111.038962,128.257034,25.042467,30.521615,128.203048,94.684688,184.116434,187.196870,46.469824,62.928758,250.314926,27.466389,172.718218,38.182347,242.724646,164.361496,81.339864,65.682724,238.935587,85.357012,108.034915,76.100173,20.073801,27.213906
Decatur,91.741449,47.613761,124.996710,44.016761,108.668539,78.991450,98.265484,17.427175,146.264567,207.748866,72.591128,160.608686,125.940473,42.596061,151.614309,36.408277,185.315661,46.678073,54.715943,0.000000,130.108594,85.858717,200.058456,208.245013,57.303498,58.794921,173.190440,86.255545,131.175842,167.240679,41.309288,144.103520,66.723925,150.152579,185.299231,142.644286,164.025417,195.240504,144.827198,139.752412,92.577635,107.189998,108.598521,27.661213,133.381019,224.176260,105.922290,205.549546,213.030132,102.329454,98.147558,71.860941,86.782737,39.342365,170.287909,59.917559,63.054842,74.054004,78.186557,163.108049,65.607635,96.044034,93.416085,56.358429,66.934689,186.674945,39.467728,115.826033,58.103913,94.544651,21.876665,56.970626,73.804076,68.985011,34.007615,80.283336,48.244552,129.858764,234.577144,19.922735,117.352851,199.909478,48.628217,222.418879,33.707816,190.062278,113.288400,28.935824,21.019470,187.251442,121.076504,162.372659,21.427724,59.888914,108.438902
