ScenarioID,wPrimary,wSecondary,wOverlay,wLocation,wLaneMiles,wCost,wAsphaltMix,wDate,MinThreshold,Active (TRUE/FALSE),Notes
1,0.09,0.14,0.08,0.38,0.11,0.13,0.07,0,0.6,TRUE,
2,0.09,0.07,0.08,0.45,0.11,0.13,0.07,0,0.7,TRUE,
3,0.1,0.1,0.1,0.3,0.15,0.15,0.1,0,0.6,TRUE,
